Phenotypic Series - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.


Epileptic encephalopathy, early infantile - PS308350 - 49 Entries
Location	Phenotype	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
16p13.3	Epileptic encephalopathy, early infantile, 16	3	615338	TBC1D24, KIAA1171, FIME, EIEE16, DOORS, DFNB86, DFNA65	613577
16q13	Epileptic encephalopathy, early infantile, 17	3	615473	GNAO1, EIEE17	139311
16q22.1	Epileptic encephalopathy, early infantile, 29	3	616339	AARS, CMT2N, EIEE29	601065
16q23.1-q23.2	Epileptic encephalopathy, early infantile, 28	3	616211	WWOX, FOR, SCAR12, EIEE28	605131
17p13.1	Epileptic encephalopathy, early infantile, 25	3	615905	SLC13A5, NACT, EIEE25	608305
19p13.13	Epileptic encephalopathy, early infantile, 42	3	617106	CACNA1A, CACNL1A4, SCA6, EIEE42	601011
19q13.33	Epileptic encephalopathy, early infantile, 46	3	617162	GRIN2D, NMDAR2D, EIEE46	602717
19q13.33	Microcephaly, seizures, and developmental delay	3	613402	PNKP, PNK, MCSZ, EIEE10, MCSZ, AOA4	605610
20p13	Epileptic encephalopathy, early infantile, 35	3	616647	ITPA, EIEE35	147520
20p12.3	Epileptic encephalopathy, early infantile, 12	3	613722	PLCB1, KIAA0581, PLCB1A, PLCB1B, EIEE12	607120
20q13.12	Epileptic encephalopathy, early infantile, 34	3	616645	SLC12A5, KCC2, KIAA1176, EIEE34, EIG14	606726
20q13.13	Epileptic encephalopathy, early infantile, 26	3	616056	KCNB1, EIEE26	600397
20q13.33	Epileptic encephalopathy, early infantile, 7	3	613720	KCNQ2, EBN1, EIEE7, BFNS1	602235
20q13.33	Epileptic encephalopathy, early infantile, 33	3	616409	EEF1A2, EIEE33, MRD38	602959
21q22.3	Epileptic encephalopathy, early infantile, 30	3	616341	SIK1, SNF1LK, MSK, EIEE30	605705
Xp22.2	Multiple congenital anomalies-hypotonia-seizures syndrome 2	3	300868	PIGA, PNH1, MCAHS2	311770
Xp22.13	Epileptic encephalopathy, early infantile, 2	3	300672	CDKL5, STK9, ISSX, EIEE2	300203
Xp21.3	Epileptic encephalopathy, early infantile, 1	3	308350	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32	300382
Xp11.23	Congenital disorder of glycosylation, type IIm	3	300896	SLC35A2, UGALT, UGTL, UGT2, CDGX, CDG2M	314375
Xq11.1	Epileptic encephalopathy, early infantile, 8	3	300607	ARHGEF9, PEM2, KIAA0424, EIEE8	300429
Xq22.1	Epileptic encephalopathy, early infantile, 9	3	300088	PCDH19, KIAA1313, EFMR, EIEE9	300460
Xq23	?Congenital disorder of glycosylation, type Is	3	300884	ALG13, GLT28D1, CDG1S, EIEE36	300776
Xq23	Epileptic encephalopathy, early infantile, 36	3	300884	ALG13, GLT28D1, CDG1S, EIEE36	300776





Phenotype Mapping Key
1 - the disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - the disorder was placed on the map by statistical methods.
3 - the molecular basis of the disorder is known.
4 - a contiguous gene duplication or deletion syndrome in which multiple genes are involved.



