Phenotypic Series - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.


Retinitis pigmentosa - PS268000 - 77 Entries
Location	Phenotype	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
17p13.3	Retinitis pigmentosa 13	3	600059	PRPF8, PRPC8, RP13	607300
17q23.1	Retinitis pigmentosa 17	3	600852	CA4, RP17	114760
17q25.1	Retinitis pigmentosa 36	3	610599	PRCD, RP36	610598
17q25.3	Retinitis pigmentosa 30	3	607921	FSCN2, RFSN, RP30	607643
17q25.3	Retinitis pigmentosa 57	3	613582	PDE6G, PDEG, RP57	180073
19q13.42	Retinitis pigmentosa 11	3	600138	PRPF31, PRP31, RP11	606419
20p13	Retinitis pigmentosa 46	3	612572	IDH3B, RP46	604526
20p11.23	Retinitis pigmentosa 69	3	615780	KIZ, KIZUNA, C20orf19, RP69	615757
20q13.33	Retinitis pigmentosa 60	3	613983	PRPF6, PRP6, ANT1, TOM, C20orf14	613979
Xp22.2	?Retinitis pigmentosa 23	3	300424	OFD1, CXorf5, SGBS2, JBTS10, RP23	300170
Xp21.3-p21.2	?Retinitis pigmentosa, X-linked recessive, 6	2	312612	RP6	312612
Xp11.4	Retinitis pigmentosa 3	3	300029	RPGR, RP3, CRD, RP15, COD1, CORDX1	312610
Xp11.3	Retinitis pigmentosa 2	3	312600	RP2	300757
Xq26-q27	Retinitis pigmentosa 24	2	300155	RP24	300155
Xq28	Retinitis pigmentosa 34	2	300605	RP34	300605
Chr.Y	Retinitis pigmentosa, Y-linked	2	400004	RPY	400004
Not Mapped	Retinitis pigmentosa		268000	RP	268000





Phenotype Mapping Key
1 - the disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - the disorder was placed on the map by statistical methods.
3 - the molecular basis of the disorder is known.
4 - a contiguous gene duplication or deletion syndrome in which multiple genes are involved.



