Phenotypic Series - 
Downloaded:	Dec 22, 2016
Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only.


Deafness, autosomal recessive - PS220290 - 85 Entries
Location	Phenotype	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
6q14.1	Deafness, autosomal recessive 37	3	607821	MYO6, DFNA22, DFNB37	600970
6q26-q27	Deafness, autosomal recessive 38	2	608219	DFNB38	608219
7p12.3	?Deafness, autosomal recessive 44	3	610154	ADCY1, DFNB44	103072
7q21.11	Deafness, autosomal recessive 39	3	608265	HGF, DFNB39	142409
7q22.1	?Deafness, autosomal recessive 61	3	613865	SLC26A5, PRES, DFNB61	604943
7q22.3	Deafness, autosomal recessive 4, with enlarged vestibular aqueduct	3	600791	SLC26A4, PDS, DFNB4, EVA, TDH2B	605646
7q31	Deafness, autosomal recessive 14	2	603678	DFNB14	603678
7q31	Deafness, autosomal recessive 17	2	603010	DFNB17	603010
7q31.2	?Deafness, autosomal recessive 97	3	616705	MET, DFNB97, OSFD	164860
7q34-q36	Deafness, autosomal recessive 13	2	603098	DFNB13	603098
8p22-p21.3	Deafness, autosomal recessive 71	2	612789	DFNB71	612789
9p23-p21.2	Deafness, autosomal recessive 83	2	613685	DFNB83	613685
9q21.13	Deafness, autosomal recessive 7	3	600974	TMC1, DFNB7, DFNB11, DFNA36	606706
9q32	Deafness, autosomal recessive 31	3	607084	WHRN, CIP98, KIAA1526, DFNB31, USH2D	607928
9q34.3	Deafness, autosomal recessive 79	3	613307	TPRN, C9orf75, DFNB79	613354
10p12.1	Deafness, autosomal recessive 30	3	607101	MYO3A, DFNB30	606808
10p11.23-q21.1	Deafness, autosomal recessive 33	2	607239	DFNB33	607239
10q21.1	Deafness, autosomal recessive 23	3	609533	PCDH15, DFNB23, USH1F	605514
10q22.1	Deafness, autosomal recessive 12	3	601386	CDH23, USH1D	605516
11p15.1	Deafness, autosomal recessive 18A	3	602092	USH1C, DFNB18A	605242
11p15.1	Deafness, autosomal recessive 18B	3	614945	OTOG, OTGN, DFNB18B	604487
11p13-p12	Deafness, autosomal recessive 51	2	609941	DFNB51	609941
11q13.2	Deafness, autosomal recessive 93	3	614899	CABP2, DFNB93	607314
11q13.4	Deafness, autosomal recessive 63	3	611451	LRTOMT, LRTOMT1, LRTOMT2, DFNB63	612414
11q13.5	Deafness, autosomal recessive 2	3	600060	MYO7A, USH1B, DFNB2, DFNA11	276903
11q22.3	Deafness, autosomal recessive 24	3	611022	RDX, DFNB24	179410
11q23.3	Deafness, autosomal recessive 21	3	603629	TECTA, DFNA8, DFNA12, DFNB21	602574
11q25-qter	Deafness, autosomal recessive 20	2	604060	DFNB20	604060
12p13.2-p11.23	Deafness, autosomal recessive 62	2	610143	DFNB62	610143
12p12.3	?Deafness, autosomal recessive 102	3	615974	EPS8, DFNB102	600206
12q14.3	Deafness, autosomal recessive 74	3	613718	MSRB3, DFNB74	613719
12q21.31	Deafness, autosomal recessive 84B	3	614944	OTOGL, C12orf64, DFNB84B	614925
12q21.31	Deafness, autosomal recessive 84A	3	613391	PTPRQ, PTPGMC1, DFNB84A	603317
13q12.11	Deafness, autosomal recessive 1A	3	220290	GJB2, CX26, DFNB1A, PPK, DFNA3A, KID, HID	121011
13q12.11	Deafness, autosomal recessive 1B	3	612645	GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2	604418
13q12.11	Deafness, digenic GJB2/GJB6	3	220290	GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2	604418
14q12	Deafness, autosomal recessive 5	2	600792	DFNB5	600792
14q24.3	Deafness, autosomal recessive 35	3	608565	ESRRB, ESRL2, DFNB35	602167
15q15.3	Deafness, autosomal recessive 16	3	603720	STRC, DFNB16	606440
15q25.1	Deafness, autosomal recessive 48	3	609439	CIB2, KIP2	605564
16p13.3	Deafness , autosomal recessive 86	3	614617	TBC1D24, KIAA1171, FIME, EIEE16, DOORS, DFNB86, DFNA65	613577
16p12.2	Deafness, autosomal recessive 22	3	607039	OTOA, DFNB22	607038
16q23.1	Deafness, autosomal recessive 89	3	613916	KARS, CMTRIB, DFNB89	601421
17p12-q11.2	Deafness, autosomal recessive 85	2	613392	DFNB85	613392
17p11.2	Deafness, autosomal recessive 3	3	600316	MYO15A, DFNB3	602666
18p11.32-p11.31	Deafness, autosomal recessive 46	2	609647	DFNB46	609647
18q21.1	Deafness, autosomal recessive 77	3	613079	LOXHD1, DFNB77	613072
19p13.3	Deafness, autosomal recessive 15	3	601869	GIPC3, DFNB15, DFNB72, DFNB95	608792
19p13.2	Deafness, autosomal recessive 68	3	610419	S1PR2, EDG5, DFNB68	605111
19q13.12	Deafness, autosomal recessive 76	3	615540	SYNE4, NESP4, C19orf46, DFNB76	615535
20q13.2-q13.3	Deafness, autosomal recessive 65	2	610248	DFNB65	610248
21q22.13	Deafness, autosomal recessive 29	3	614035	CLDN14, DFNB29	605608
21q22.3	Deafness, autosomal recessive 8/10	3	601072	TMPRSS3, ECHOS1, DFNB8, DFNB10	605511
21q22.3	Deafness, autosomal recessive 98	3	614861	TSPEAR, C21orf29, DFNB98	612920
22q11.21-q12.1	Deafness, autosomal recessive 40	2	608264	DFNB40	608264
22q13.1	Deafness, autosomal recessive 28	3	609823	TRIOBP, KIAA1662	609761





Phenotype Mapping Key
1 - the disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - the disorder was placed on the map by statistical methods.
3 - the molecular basis of the disorder is known.
4 - a contiguous gene duplication or deletion syndrome in which multiple genes are involved.



