OMIM Phenotypic Series Titles - 
Downloaded:	Dec 22, 2016
Peeling skin syndrome	PS270300
Peroxisome biogenesis disorder	PS214100
Perrault syndrome	PS233400
Persistent hyperplastic primary vitreous	PS221900
Photoparoxysmal response	PS132100
Pituitary hormone deficiency, combined	PS613038
Polycystic kidney disease	PS173900
Polycystic liver disease	PS174050
Polyglucosan body myopathy	PS615895
Pontocerebellar hypoplasia	PS607596
Porencephaly	PS175780
Porokeratosis	PS175800
Precocious puberty, central	PS176400
Preeclampsia/eclampsia	PS189800
Preimplantation embryonic lethality	PS616814
Primary ciliary dyskinesia	PS244400
Progeria	PS176670
Progressive external ophthalmoplegia with mtDNA deletions	PS157640
Progressive familial heart block	PS113900
Proximal symphalangism	PS185800
Pseudohypoaldosteronism, type II	PS145260
Psoriasis	PS177900
Pulmonary fibrosis and/or bone marrow failure, telomere-related	PS614742
Pulmonary hypertension, primary	PS178600
Pulmonary venoocclusive disease	PS265450
Pyloric stenosis, infantile hypertrophic	PS179010
Pyruvate dehydrogenase complex deficiency	PS312170
Radioulnar synostosis with amegakaryocytic thrombocytopenia	PS605432
Renal-hepatic-pancreatic dysplasia	PS208540
Restless legs syndrome	PS102300
Reticulate pigment disorders	PS179850
Retinitis pigmentosa	PS268000
Rhabdoid tumor predisposition syndrome	PS609322
Rhizomelic chondrodysplasia punctata	PS215100
Ritscher-Schinzel syndrome	PS220210
Robinow syndrome	PS268310
Rubinstein-Taybi syndrome	PS180849
Schwannomatosis	PS162091
Sclerosteosis	PS269500
Seckel syndrome	PS210600
Seizures, benign familial infantile	PS601764
Seizures, benign familial neonatal	PS121200
Seizures, familial febrile	PS121210
Senior-Loken syndrome	PS266900
Short QT syndrome	PS609620
Short-rib thoracic dysplasia	PS208500
Sick sinus syndrome	PS608567
Singleton-Merten syndrome	PS182250
Skin creases, congenital symmetric circumferential	PS156610
Skin/hair/eye pigmentation, variation in	PS227220
Smith-McCort dysplasia	PS607326
Sotos syndrome	PS117550
Spastic ataxia	PS108600
Spastic paraplegia	PS303350
Spastic quadriplegic cerebral palsy	PS603513
Specific language impairment	PS606711
Spermatogenic failure	PS258150
Spinal muscular atrophy with congenital bone fractures	PS616866
Spinal muscular atrophy, lower extremity-predominant	PS158600
Spinocerebellar ataxia	PS164400
Split-hand/foot malformation	PS183600
Spondyloarthropathy, susceptibility to	PS106300
Spondylocostal dysostosis	PS277300
Stickler syndrome	PS108300
Striatonigral degeneration	PS271930
Stuttering, familial persistent	PS184450
Sufactant metabolism dysfunction, pulmonary	PS265120
Telangiectasia, hereditary hemorrhagic	PS187300
Thiamine-responsive dysfunction syndrome	PS249270
Thiopurines, poor metabolism of	PS610460
Three M syndrome	PS273750
Thrombocythemia	PS187950
Thrombophilia	PS188050
Thyroid cancer, nonmedullary	PS188550
Tooth agenesis, selective	PS106600
Transposition of the great arteries, dextro-looped	PS608808
Treacher Collins syndrome	PS154500
Tremor, hereditary essential	PS190300
Trichohepatoenteric syndrome	PS222470
Trichothiodystrophy	PS601675
Trigonocephaly, isolated	PS190440
Tuberous sclerosis	PS191100
Tyrosinemia	PS276700
Ullrich congenital muscular dystrophy	PS254090
Urofacial syndrome	PS236730
Usher syndrome	PS276900
UV-sensitive syndrome	PS600630
Van Maldergem syndrome	PS601390
Vas deferens, congenital bilateral aplasia of	PS277180
Ventricular septal defect	PS614429
Ventricular tachycardia, catecholaminergic polymorphic	PS604772
Vesicoureteral reflux	PS193000
Vitamin K-dependent clotting factors, combined deficiency of	PS277450
Waardenburg syndrome	PS193500
Warburg micro syndrome	PS600118
Weill-Marchesani syndrome	PS277600
White sponge nevus	PS193900
Wilms tumor	PS194070
Xanthinuria	PS278300
46,XY sex reversal	PS400044
Zimmermann-Laband syndrome	PS135500





